seed,ROI_i,ROI_j,mean_abs_shap
7,ROI_37,ROI_11,0.0
7,ROI_37,ROI_12,0.0
7,ROI_37,ROI_13,0.0
7,ROI_37,ROI_14,0.0
7,ROI_37,ROI_15,0.0
7,ROI_37,ROI_17,0.0
7,ROI_34,ROI_8,0.0
7,ROI_37,ROI_19,0.0
7,ROI_37,ROI_20,0.0
7,ROI_36,ROI_9,0.0
7,ROI_36,ROI_8,0.0
7,ROI_36,ROI_7,0.0
7,ROI_35,ROI_6,0.0
7,ROI_34,ROI_58,0.0
7,ROI_34,ROI_59,0.0
7,ROI_34,ROI_60,0.0
7,ROI_34,ROI_61,0.0
7,ROI_34,ROI_62,0.0
7,ROI_35,ROI_1,0.0
7,ROI_35,ROI_2,0.0
7,ROI_35,ROI_3,0.0
7,ROI_35,ROI_4,0.0
7,ROI_35,ROI_5,0.0
7,ROI_34,ROI_27,0.0
7,ROI_35,ROI_7,0.0
7,ROI_35,ROI_20,0.0
7,ROI_35,ROI_8,0.0
7,ROI_35,ROI_9,0.0
7,ROI_35,ROI_10,0.0
7,ROI_35,ROI_11,0.0
7,ROI_35,ROI_12,0.0
7,ROI_35,ROI_13,0.0
7,ROI_35,ROI_14,0.0
7,ROI_35,ROI_15,0.0
7,ROI_35,ROI_16,0.0
7,ROI_35,ROI_17,0.0
7,ROI_35,ROI_18,0.0
7,ROI_34,ROI_57,0.0
7,ROI_34,ROI_28,0.0
7,ROI_34,ROI_56,0.0
7,ROI_34,ROI_55,0.0
7,ROI_34,ROI_37,0.0
7,ROI_34,ROI_38,0.0
7,ROI_34,ROI_39,0.0
7,ROI_34,ROI_34,0.0
7,ROI_34,ROI_40,0.0
7,ROI_34,ROI_41,0.0
7,ROI_34,ROI_42,0.0
7,ROI_34,ROI_43,0.0
7,ROI_34,ROI_44,0.0
7,ROI_34,ROI_45,0.0
7,ROI_34,ROI_46,0.0
7,ROI_34,ROI_47,0.0
7,ROI_34,ROI_33,0.0
7,ROI_34,ROI_32,0.0
7,ROI_34,ROI_49,0.0
7,ROI_34,ROI_50,0.0
